YEAR,COUNTRY,CIGSPC,PRICE
1964,CAN,3975,128
1965,CAN,4095,128
1966,CAN,4158,127
1967,CAN,4168,127
1968,CAN,3971,137
1969,CAN,3879,138
1970,CAN,4056,133
1971,CAN,4040,132
1972,CAN,4089,128
1973,CAN,4139,123
1974,CAN,4152,112
1975,CAN,4127,114
1976,CAN,4008,115
1977,CAN,3990,116
1978,CAN,3805,122
1979,CAN,3901,117
1980,CAN,3873,116
1981,CAN,3890,119
1982,CAN,3825,126
1983,CAN,3619,142
1984,CAN,3399,154
1985,CAN,3255,176
1986,CAN,2985,201
1987,CAN,2823,209
1988,CAN,2817,215
1989,CAN,2733,242
1990,CAN,2566,264
1964,US,4368,103
1965,US,4417,105
1966,US,4387,105
1967,US,4355,105
1968,US,4254,106
1969,US,4077,108
1970,US,4107,110
1971,US,4072,109
1972,US,4113,109
1973,US,4238,105
1974,US,4225,101
1975,US,4138,98
1976,US,4342,97
1977,US,4117,95
1978,US,3979,93
1979,US,4036,91
1980,US,3965,90
1981,US,3966,88
1982,US,3815,92
1983,US,3622,107
1984,US,3634,110
1985,US,3577,113
1986,US,3460,118
1987,US,3392,123
1988,US,3199,130
1989,US,3171,141
1990,US,3020,153
